Iteration Number	Time per iter	PSNR
0	0.9238730812072754	8.065716743469238
50	25.02879644393921	10.907119750976562
100	25.773472814559938	11.39699935913086
150	29.608706645965576	12.176800727844238
200	29.69600259780884	13.710078239440918
250	28.56732690811157	15.041818618774414
300	28.087157039642335	16.513620376586914
350	27.7741015625	17.28773307800293
400	27.789382152557373	17.73223114013672
450	27.37829119682312	18.64212989807129
500	26.599864444732667	19.72026252746582
550	26.239831171035767	19.868078231811523
600	26.271343994140626	20.542295455932617
650	25.941211795806886	20.179521560668945
700	26.34293423652649	20.24189567565918
750	25.844351243972778	20.271039962768555
800	24.342350273132325	20.752866744995117
850	24.39737923622131	20.90899085998535
900	24.43535315513611	21.27605628967285
950	24.575553398132325	21.294570922851562
