Iteration Number	Time per iter	SSIM
0	0.006794876098632813	0.5583505034446716
500	3.41239764213562	0.7771826386451721
1000	3.5167336444854738	0.6866109371185303
1500	3.429921356201172	0.738847553730011
2000	3.3926904339790345	0.6697267889976501
2500	3.4118213715553285	0.6764211058616638
3000	3.3990887928009035	0.7334432601928711
3500	3.412330448627472	0.7133917212486267
4000	3.401320429801941	0.7308785915374756
4500	3.4388328461647033	0.7391366362571716
5000	3.4571809821128845	0.769141435623169
5500	3.363396918296814	0.7436162829399109
6000	3.3645035533905028	0.7446581721305847
6500	3.4365829973220827	0.736157238483429
7000	3.35181211233139	0.7742083072662354
7500	3.382677450656891	0.7076733708381653
8000	3.393987484931946	0.733903706073761
8500	3.3419131107330324	0.7341742515563965
9000	3.403660261631012	0.7264952659606934
9500	3.416622383594513	0.7248754501342773
10000   3.392857493028493       0.7388372957392719
