Iteration Number	Time per iter	PSNR
0	0.005968998908996582	16.102506637573242
500	3.077559829711914	22.812606811523438
1000	3.0831897187232973	22.907657623291016
1500	3.1516197962760923	22.89476776123047
2000	3.156029749393463	22.878498077392578
2500	3.152564939022064	22.790578842163086
3000	3.106466924190521	23.08209991455078
3500	3.0866316814422605	23.605154037475586
4000	3.103096297740936	24.504104614257812
4500	3.1706328411102294	23.253570556640625
5000	3.123967097759247	24.565624237060547
5500	3.1619861607551574	23.833602905273438
6000	3.163773847579956	24.492534637451172
6500	3.141961412906647	24.071002960205078
7000	3.18570987701416	23.73966407775879
7500	3.2035761198997497	25.03622055053711
8000	3.1895899519920348	25.693279266357422
8500	3.1918365173339844	23.760616302490234
9000	3.1323413224220276	24.524259567260742
9500	3.229585910320282	25.236589431762695
10000   3.2857392048672382      25.164829357638913
