Iteration Number	Time per iter	PSNR
0	0.006794876098632813	11.611555099487305
500	3.41239764213562	24.236351013183594
1000	3.5167336444854738	24.72582244873047
1500	3.429921356201172	24.543684005737305
2000	3.3926904339790345	24.663259506225586
2500	3.4118213715553285	24.700119018554688
3000	3.3990887928009035	24.833131790161133
3500	3.412330448627472	24.720521926879883
4000	3.401320429801941	24.837188720703125
4500	3.4388328461647033	24.878023147583008
5000	3.4571809821128845	24.944581985473633
5500	3.363396918296814	24.883920669555664
6000	3.3645035533905028	25.14569091796875
6500	3.4365829973220827	25.049320220947266
7000	3.35181211233139	25.020095825195312
7500	3.382677450656891	24.91144561767578
8000	3.393987484931946	24.730087280273438
8500	3.3419131107330324	25.01901626586914
9000	3.403660261631012	25.1771240234375
9500	3.416622383594513	25.082622528076172
10000   3.392857493028493       25.07139572024921
