Iteration Number	Time per iter	SSIM
0	0.005968998908996582	0.3530670404434204
500	3.077559829711914	0.5552451014518738
1000	3.0831897187232973	0.5389813184738159
1500	3.1516197962760923	0.6200560927391052
2000	3.156029749393463	0.5878102779388428
2500	3.152564939022064	0.6951756477355957
3000	3.106466924190521	0.6326392292976379
3500	3.0866316814422605	0.5959053635597229
4000	3.103096297740936	0.6218742728233337
4500	3.1706328411102294	0.603861391544342
5000	3.123967097759247	0.6671254634857178
5500	3.1619861607551574	0.6603770852088928
6000	3.163773847579956	0.6463136076927185
6500	3.141961412906647	0.627769410610199
7000	3.18570987701416	0.6529867053031921
7500	3.2035761198997497	0.6995902061462402
8000	3.1895899519920348	0.696054995059967
8500	3.1918365173339844	0.651332676410675
9000	3.1323413224220276	0.6678597927093506
9500	3.229585910320282	0.6711787581443787
10000   3.2857392048672382      0.683294759830185
