Iteration Number	Time per iter	PSNR
0	0.007925574779510497	7.17671012878418
500	3.338445469379425	21.590652465820312
1000	3.30025700378418	22.31230354309082
1500	3.332574598312378	22.32839584350586
2000	3.3515332655906676	22.36322021484375
2500	3.344110353946686	22.351070404052734
3000	3.3622990136146544	22.39219093322754
3500	3.3643244986534118	22.752389907836914
4000	3.3420075607299804	22.70860481262207
4500	3.346742426395416	22.822994232177734
5000	3.3202765340805054	22.886947631835938
5500	3.3887391333580017	23.141862869262695
6000	3.365744864463806	23.139789581298828
6500	3.3283995761871337	22.90960121154785
7000	3.330040707588196	23.08856773376465
7500	3.3413683767318725	22.86639976501465
8000	3.360944293022156	23.37295913696289
8500	3.4142371797561646	23.19712257385254
9000	3.349459768772125	23.213590621948242
9500	3.3180955271720887	23.350025177001953
10000   3.3806013879776002      23.374920543919035
