Iteration Number	Time per iter	PSNR
0	0.007120254039764404	7.263042449951172
500	3.253281213760376	24.227767944335938
1000	3.2647105803489684	24.371023178100586
1500	3.2705759472846987	24.3538761138916
2000	3.289205325603485	24.428956985473633
2500	3.305416932582855	24.54762077331543
3000	3.3135382237434388	24.592233657836914
3500	3.3161438975334168	24.679058074951172
4000	3.277726333618164	24.673826217651367
4500	3.3088767228126525	24.70096206665039
5000	3.386636722564697	24.730287551879883
5500	3.366347508430481	24.71418571472168
6000	3.3027637615203855	24.812986373901367
6500	3.2713599610328674	24.727632522583008
7000	3.343630325317383	24.619464874267578
7500	3.3743506026268006	24.75954246520996
8000	3.3574502429962156	24.625959396362305
8500	3.320933814048767	24.623552322387695
9000	3.319193190097809	24.738035202026367
9500	3.3560380506515504	24.862201690673828
10000   3.3806013879776002      24.849204856710384
