Iteration Number	Time per iter	SSIM
0	0.007120254039764404	0.19887791574001312
500	3.253281213760376	0.7034668326377869
1000	3.2647105803489684	0.6792454719543457
1500	3.2705759472846987	0.7271870970726013
2000	3.289205325603485	0.7368969321250916
2500	3.305416932582855	0.7141571044921875
3000	3.3135382237434388	0.7337195873260498
3500	3.3161438975334168	0.7174603343009949
4000	3.277726333618164	0.71153324842453
4500	3.3088767228126525	0.7134585976600647
5000	3.386636722564697	0.6985767483711243
5500	3.366347508430481	0.6914535164833069
6000	3.3027637615203855	0.6983506679534912
6500	3.2713599610328674	0.7314007878303528
7000	3.343630325317383	0.7355241775512695
7500	3.3743506026268006	0.7191333174705505
8000	3.3574502429962156	0.6992597579956055
8500	3.320933814048767	0.7376074194908142
9000	3.319193190097809	0.737198531627655
9500	3.3560380506515504	0.7390629649162292
10000   3.3806013879776002      0.7397498198237452
