Iteration Number	Time per iter	SSIM
0	0.007925574779510497	0.436652272939682
500	3.338445469379425	0.20514392852783203
1000	3.30025700378418	0.30851930379867554
1500	3.332574598312378	0.30863240361213684
2000	3.3515332655906676	0.33057084679603577
2500	3.344110353946686	0.3331198990345001
3000	3.3622990136146544	0.3233841359615326
3500	3.3643244986534118	0.3752390444278717
4000	3.3420075607299804	0.3291368782520294
4500	3.346742426395416	0.3716552257537842
5000	3.3202765340805054	0.37850984930992126
5500	3.3887391333580017	0.38795021176338196
6000	3.365744864463806	0.3995254933834076
6500	3.3283995761871337	0.3883819282054901
7000	3.330040707588196	0.36614513397216797
7500	3.3413683767318725	0.37545672059059143
8000	3.360944293022156	0.4197479784488678
8500	3.4142371797561646	0.37130120396614075
9000	3.349459768772125	0.3988635241985321
9500	3.3180955271720887	0.41112789511680603
10000   3.3806013879776002      0.41934739204830284
